"SampleID","Lat","Long","Depth","Temp","Haddock","Cod","Redfish","x1","x2"
356,71.1,22.43,349,3.95,108,44,7,1.0603192838865,6.06944998416381
357,71.32,23.68,382,3.75,110,138,93,2.27546498633312,7.06317380971635
358,71.6,24.9,294,3.45,788,675,37,0.746557081384929,5.63361752717133
359,71.27,25.88,304,3.65,295,357,0,4.39292120320669,7.23704315860611
363,71.52,28.12,384,3.35,13,76,958,2.49426165772304,6.01812303412177
364,71.48,29.1,344,3.65,97,368,101,0.769297423822977,9.65093090405897
365,71.1,29.92,347,3.55,220,825,36,2.73114357864273,8.07506121402581
366,71.03,30.87,300,3.85,373,547,39,3.10748705769383,8.36526134424284
367,71.32,31.2,260,2.95,118,98,7,2.86367202748024,7.57627803673952
368,71.3,32.15,256,3.35,336,188,1,1.54191741926547,9.52326412077913
369,71.22,33.15,254,2.55,36,72,0,4.26767175267627,6.04639531907653
370,71.58,32.37,297,2.65,9,202,36,2.58476485461715,6.30753290445915
371,71.68,31.25,332,2.85,40,92,92,1.06813912918729,9.14842335781249
372,71.72,30.77,358,1.95,23,125,53,-1.32204983076625,6.02395547003445
373,72.02,31.67,320,1.65,2,143,72,3.68739637721466,6.68892888459705
375,72.25,32.93,285,1.25,0,351,7,1.93259958647715,6.41078810583702
376,72.45,34.32,285,0.15,0,186,3,1.97571460535158,6.52001069717724
377,72.72,35.6,234,0.65,0,494,0,3.41575431602795,6.58133004553516
378,72.83,34.58,228,0.55,2,1346,1,3.23183179264713,7.74128249690174
379,72.9,33.33,227,0.35,0,272,0,2.89085198182626,6.73400427659559
380,72.62,32.05,268,0.95,4,742,38,3.37846605741233,6.24106380682861
381,72.35,30.78,295,2.85,127,278,106,3.1732044510966,9.01455823775562
382,72.08,29.43,290,3.05,243,478,40,2.11184747504779,6.6781308871797
383,71.82,28.17,308,3.25,122,66,13,-0.984027543795059,6.73066520493492
384,71.55,27,350,3.35,231,9,179,2.92973862184207,6.84971388817966
385,71.93,26.07,280,3.35,119,166,30,1.9158068907065,8.06899946057711
386,72.22,27.25,234,3.15,1179,213,0,1.76630673994201,6.88965339381051
387,72.48,28.55,305,2.85,112,210,30,-0.206128575848912,6.94354874279943
388,72.75,29.53,296,1.65,86,1403,48,1.28277491733707,5.97750928186651
389,73.02,31.23,286,2.35,28,671,21,2.62691234029955,6.51359459163052
390,73.28,32.55,277,1.85,3,611,0,8.34051055363827,3.61166143741685
391,73.62,34.13,294,0.95,3,97,21,5.42905277640806,4.84348216129787
392,73.67,35.18,255,1.25,2,265,0,9.95700607933623,1.09550404459236
393,73.87,34.22,305,0.55,0,31,0,6.42455184056746,1.41369826891529
394,73.93,33.02,297,0.75,13,303,0,9.48121795341248,1.37566695270471
395,73.67,31.78,348,2.15,57,522,106,9.26831904092595,1.43651386576941
396,73.38,30.18,350,2.45,148,162,196,7.12444860037887,1.45005358144646
397,73.17,28.88,334,2.45,173,144,335,7.85083137227725,1.55648382094867
398,72.92,27.6,300,2.45,189,187,94,5.46317728069831,4.1627306152998
399,72.6,26.33,290,2.95,74,101,17,7.48450975453365,0.953692562130439
400,72.28,25.17,273,3.35,294,142,181,8.56541868753427,1.41774874111796
401,72.65,24.1,335,3.35,63,141,256,7.1486177303458,2.97880467825728
402,73.02,25.43,438,1.85,30,62,1107,6.31879463626846,3.68715866980269
403,73.25,26.8,440,2.15,42,45,637,6.01632722132434,0.841833795464109
404,73.53,28.07,382,2.15,44,230,0,6.94611636606623,1.23787067579257
405,73.8,29.42,358,1.85,60,172,166,8.60374219101519,2.78543088574703
406,74.12,30.83,315,0.65,4,44,13,6.27403760454808,3.52663133980695
407,74.43,30.92,285,0.95,3,196,9,6.81848483300883,1.62325311786803
409,74.33,32.15,225,0.35,0,277,0,5.05878999426874,-0.144990171082915
410,74.75,31.25,300,1.35,1,295,14,7.74146925402228,4.56368154815132
411,75.08,31.43,347,0.55,0,439,0,8.96185228017122,4.15260435846744
412,75.4,31.85,306,0.75,1,672,0,9.24556151410417,0.93444328122518
413,75.72,32.1,311,1.15,0,904,3,8.22205409634604,1.90239863951662
414,75.93,33.42,272,0.35,0,53,0,4.19531681469608,-0.639203103048897
415,75.73,32.55,306,0.55,0,308,0,7.72304425618564,2.85458445772865
416,75.47,30.5,375,1.05,0,369,48,7.6842034049518,4.41852019730268
417,75.82,30.77,327,0.95,0,0,0,6.46989957125513,-0.455920970657075
418,75.62,29.1,317,0.95,0,5,0,7.25573420642197,0.83064723019738
419,75.62,28.05,256,0.35,0,903,0,5.70394606880964,1.03823459937415
420,75.18,27.63,278,0.55,1,227,27,8.01884616102348,0.978302909643266
428,75.22,29.05,342,0.85,1,270,59,6.48839953054329,5.93864765107405
429,75.12,30.33,380,1.25,0,66,73,9.25363680135188,9.95735802171734
430,74.8,30,384,1.05,0,155,62,7.7924615684746,6.86500197902838
431,74.48,29.78,373,1.15,6,75,185,7.81328703319646,6.97897412210211
432,74.17,29.48,372,1.65,12,147,232,6.79498996642319,5.31481459433477
439,74.18,28.28,394,1.85,5,117,82,5.2948992200459,4.98380481493569
440,74.53,28.5,395,1.35,1,46,184,4.75505926846631,4.71526634340687
441,74.85,28.77,362,0.85,0,31,30,6.66492153466511,6.36704768442674
442,74.92,27.35,324,1.05,0,228,64,10.0025788416593,9.04138669612147
443,74.62,26.17,332,1.15,0,116,71,7.33255572432043,9.63069226800231
444,74.58,27.23,379,1.05,1,150,96,7.24655936386958,9.35254710152918
445,74.25,27,408,1.45,0,53,170,7.49893541327501,8.94513335492162
446,73.9,26.97,415,1.55,3,28,386,6.42218800136285,6.64360562283458
447,73.6,25.67,439,1.85,1,24,646,4.90186896016316,5.16377479647894
448,73.32,24.28,398,2.05,7,40,955,11.0136111937777,6.50828097978989
449,73.03,23.02,399,1.85,12,35,635,6.36447086697703,3.38132458559162
450,73.02,21.92,434,2.05,2,54,1060,6.5520977321004,6.52931068983492
451,73.08,20.95,455,1.65,0,20,411,4.31148740972054,9.48981805696857
453,74.27,23.98,370,1.45,0,311,93,6.62798766239785,7.19642965091128
454,73.95,22.15,474,1.55,1,32,124,6.62904412243809,8.64383302403438
455,73.67,20.63,486,1.65,0,46,313,6.61673443221048,7.73401143541587
456,73.7,19.65,362,1.65,1,130,127,4.31959284986115,5.83163455682702
457,73.75,18.55,263,1.55,4,137,31,9.67699422403714,9.61533902939403
458,74.07,17.3,209,1.85,2,121,0,9.64537952161882,6.8824190720034
459,74.33,16.87,215,2.35,4,21,0,8.03440033290114,5.53666931121618
460,73.12,18.52,420,2.05,2,48,368,5.34888903336412,7.10598973710785
461,73.12,19.7,432,1.85,0,0,368,8.07176403534672,4.72210070676521
462,70.83,21.32,167,4.45,50,30,0,6.63029452459897,8.29566854918698
465,73.38,17.37,462,1.95,0,36,0,6.52032075110919,7.75235257804655
NA,NA,NA,NA,NA,NA,NA,NA,9.04396643943205,6.46782800552952
