"Sex","Age","Length","Weight","logLength"
"F",1,249,114.2,2.39619934709574
"F",1,258,112.52,2.41161970596323
"F",1,263,129.07,2.41995574848976
"F",1,357,292.6,2.55266821611219
"F",2,195,51.85,2.29003461136252
"F",2,245,112.01,2.38916608436453
"F",2,246,106.1,2.39093510710338
"F",2,250,96.33,2.39794000867204
"F",2,252,90.06,2.40140054078154
"F",2,252,101.53,2.40140054078154
"F",2,254,111.87,2.40483371661994
"F",2,256,103.47,2.40823996531185
"F",2,257,119.82,2.40993312333129
"F",2,258,110.33,2.41161970596323
"F",2,259,108.33,2.41329976408125
"F",2,262,108.28,2.41830129131975
"F",2,268,148.17,2.42813479402879
"F",2,270,138.84,2.43136376415899
"F",2,272,143.04,2.4345689040342
"F",2,274,164.33,2.43775056282039
"F",2,274,115.85,2.43775056282039
"F",2,276,126.34,2.44090908206522
"F",2,277,170.07,2.44247976906445
"F",2,277,136.84,2.44247976906445
"F",2,281,155.26,2.44870631990508
"F",2,281,169.7,2.44870631990508
"F",2,282,175.28,2.45024910831936
"F",2,283,151.68,2.45178643552429
"F",2,286,186.66,2.45636603312904
"F",2,287,186.9,2.45788189673399
"F",2,290,240.74,2.46239799789896
"F",2,294,189.19,2.46834733041216
"F",2,296,193.07,2.47129171105894
"F",2,297,180.68,2.47275644931721
"F",2,297,173.89,2.47275644931721
"F",2,301,210.3,2.47856649559384
"F",2,301,225.44,2.47856649559384
"F",2,302,228.91,2.48000694295715
"F",2,302,191.07,2.48000694295715
"F",2,306,241.5,2.48572142648158
"F",2,307,230,2.48713837547719
"F",2,309,210.88,2.48995847942483
"F",2,320,236.97,2.50514997831991
"F",2,325,283.99,2.51188336097887
"F",2,329,228.5,2.51719589794997
"F",2,344,321.75,2.53655844257153
"F",2,346,424.46,2.53907609879278
"F",3,232,91,2.3654879848909
"F",3,240,97.86,2.38021124171161
"F",3,241,125.45,2.38201704257487
"F",3,243,83.26,2.38560627359831
"F",3,243,78.69,2.38560627359831
"F",3,245,126.96,2.38916608436453
"F",3,247,102.48,2.39269695325967
"F",3,247,106.22,2.39269695325967
"F",3,248,112.28,2.39445168082622
"F",3,248,104.1,2.39445168082622
"F",3,249,138.89,2.39619934709574
"F",3,250,101.49,2.39794000867204
"F",3,251,114.53,2.39967372148104
"F",3,251,99.24,2.39967372148104
"F",3,251,93.05,2.39967372148104
"F",3,253,148.84,2.40312052117582
"F",3,254,98.83,2.40483371661994
"F",3,255,113.78,2.40654018043396
"F",3,255,105.18,2.40654018043396
"F",3,256,155.52,2.40823996531185
"F",3,256,127.88,2.40823996531185
"F",3,256,99.62,2.40823996531185
"F",3,257,128.08,2.40993312333129
"F",3,257,121.28,2.40993312333129
"F",3,257,121.92,2.40993312333129
"F",3,257,112.26,2.40993312333129
"F",3,257,108.52,2.40993312333129
"F",3,257,101.89,2.40993312333129
"F",3,258,125.29,2.41161970596323
"F",3,258,116.61,2.41161970596323
"F",3,259,146.51,2.41329976408125
"F",3,259,119.49,2.41329976408125
"F",3,259,116.29,2.41329976408125
"F",3,259,109.88,2.41329976408125
"F",3,259,109.6,2.41329976408125
"F",3,259,122.68,2.41329976408125
"F",3,259,113.47,2.41329976408125
"F",3,259,98.72,2.41329976408125
"F",3,260,131.64,2.41497334797082
"F",3,261,144.35,2.41664050733828
"F",3,261,122.45,2.41664050733828
"F",3,261,108.53,2.41664050733828
"F",3,263,137.87,2.41995574848976
"F",3,263,124.73,2.41995574848976
"F",3,263,111.54,2.41995574848976
"F",3,263,116.23,2.41995574848976
"F",3,264,137.28,2.42160392686983
"F",3,264,136.41,2.42160392686983
"F",3,264,125.85,2.42160392686983
"F",3,265,137.31,2.42324587393681
"F",3,265,138.86,2.42324587393681
"F",3,265,136.45,2.42324587393681
"F",3,267,147.56,2.42651126136458
"F",3,267,142.14,2.42651126136458
"F",3,271,151.93,2.43296929087441
"F",3,271,150.02,2.43296929087441
"F",3,271,122.13,2.43296929087441
"F",3,271,117.89,2.43296929087441
"F",3,273,145.6,2.43616264704076
"F",3,273,133.55,2.43616264704076
"F",3,276,170.09,2.44090908206522
"F",3,276,160.69,2.44090908206522
"F",3,278,167.3,2.44404479591808
"F",3,278,164.22,2.44404479591808
"F",3,279,183.53,2.4456042032736
"F",3,279,155.56,2.4456042032736
"F",3,280,165.22,2.44715803134222
"F",3,280,174.73,2.44715803134222
"F",3,280,157.16,2.44715803134222
"F",3,281,151.29,2.44870631990508
"F",3,283,158.09,2.45178643552429
"F",3,287,195.16,2.45788189673399
"F",3,287,147.72,2.45788189673399
"F",3,287,156.56,2.45788189673399
"F",3,288,167.64,2.45939248775923
"F",3,288,177.92,2.45939248775923
"F",3,289,155.33,2.46089784275655
"F",3,290,179.87,2.46239799789896
"F",3,291,188.39,2.46389298898591
"F",3,291,208.7,2.46389298898591
"F",3,291,182.85,2.46389298898591
"F",3,293,162.77,2.46686762035411
"F",3,293,155.84,2.46686762035411
"F",3,294,164,2.46834733041216
"F",3,294,196.73,2.46834733041216
"F",3,294,185.79,2.46834733041216
"F",3,296,180.93,2.47129171105894
"F",3,297,213.88,2.47275644931721
"F",3,297,196.91,2.47275644931721
"F",3,301,206.83,2.47856649559384
"F",3,302,221.55,2.48000694295715
"F",3,302,172.68,2.48000694295715
"F",3,303,247.32,2.4814426285023
"F",3,307,190.74,2.48713837547719
"F",3,309,214.4,2.48995847942483
"F",3,311,256.38,2.49276038902684
"F",3,311,205.73,2.49276038902684
"F",3,312,201.56,2.49415459401844
"F",3,315,227.61,2.4983105537896
"F",3,315,195.6,2.4983105537896
"F",3,316,225.25,2.4996870826184
"F",3,318,245.05,2.50242711998443
"F",3,318,220.09,2.50242711998443
"F",3,320,216.54,2.50514997831991
"F",3,321,237.74,2.50650503240487
"F",3,323,272.72,2.5092025223311
"F",3,324,212.24,2.51054501020661
"F",3,326,298.21,2.51321760006794
"F",3,326,307.41,2.51321760006794
"F",3,327,286.82,2.51454775266029
"F",3,328,307.92,2.51587384371168
"F",3,330,348.23,2.51851393987789
"F",3,334,306.27,2.52374646681156
"F",3,334,311.1,2.52374646681156
"F",3,334,272.11,2.52374646681156
"F",3,335,299.62,2.52504480703685
"F",3,335,266.05,2.52504480703685
"F",3,335,263.28,2.52504480703685
"F",3,339,329.67,2.53019969820308
"F",3,342,301.73,2.53402610605613
"F",3,345,315.05,2.53781909507327
"F",3,346,348.46,2.53907609879278
"F",3,346,347.85,2.53907609879278
"F",3,348,298.36,2.54157924394658
"F",3,359,406.09,2.55509444857832
"F",3,362,360.95,2.55870857053317
"F",3,370,386.61,2.56820172406699
"F",3,373,550,2.57170883180869
"F",3,380,466.9,2.57978359661681
"F",3,385,539.5,2.5854607295085
"F",3,406,740,2.60852603357719
"F",4,243,95.45,2.38560627359831
"F",4,246,103.55,2.39093510710338
"F",4,247,112.93,2.39269695325967
"F",4,247,107.28,2.39269695325967
"F",4,248,137.7,2.39445168082622
"F",4,250,119.47,2.39794000867204
"F",4,250,119.73,2.39794000867204
"F",4,251,152.86,2.39967372148104
"F",4,251,124.5,2.39967372148104
"F",4,253,116.36,2.40312052117582
"F",4,253,120.51,2.40312052117582
"F",4,255,113.67,2.40654018043396
"F",4,256,95.1,2.40823996531185
"F",4,257,127.79,2.40993312333129
"F",4,257,113.75,2.40993312333129
"F",4,257,105.36,2.40993312333129
"F",4,258,145.96,2.41161970596323
"F",4,258,156.11,2.41161970596323
"F",4,258,119.15,2.41161970596323
"F",4,258,90.73,2.41161970596323
"F",4,258,108.85,2.41161970596323
"F",4,259,148.91,2.41329976408125
"F",4,259,136.03,2.41329976408125
"F",4,259,118.32,2.41329976408125
"F",4,259,127.98,2.41329976408125
"F",4,259,130.24,2.41329976408125
"F",4,259,128.93,2.41329976408125
"F",4,259,121.1,2.41329976408125
"F",4,260,123.02,2.41497334797082
"F",4,261,136.24,2.41664050733828
"F",4,261,118.65,2.41664050733828
"F",4,261,136.63,2.41664050733828
"F",4,261,113.09,2.41664050733828
"F",4,262,127.86,2.41830129131975
"F",4,263,123.96,2.41995574848976
"F",4,263,116.89,2.41995574848976
"F",4,264,142.15,2.42160392686983
"F",4,265,124.3,2.42324587393681
"F",4,266,139.43,2.42488163663107
"F",4,266,120.36,2.42488163663107
"F",4,267,151.05,2.42651126136458
"F",4,267,148.83,2.42651126136458
"F",4,268,146.45,2.42813479402879
"F",4,268,111.66,2.42813479402879
"F",4,268,104.72,2.42813479402879
"F",4,269,120.74,2.42975228000241
"F",4,270,164.63,2.43136376415899
"F",4,270,129.37,2.43136376415899
"F",4,270,126.97,2.43136376415899
"F",4,271,176.75,2.43296929087441
"F",4,272,162.45,2.4345689040342
"F",4,272,143.58,2.4345689040342
"F",4,272,179.55,2.4345689040342
"F",4,272,127.91,2.4345689040342
"F",4,273,134.11,2.43616264704076
"F",4,274,172.6,2.43775056282039
"F",4,274,170.97,2.43775056282039
"F",4,274,141.16,2.43775056282039
"F",4,275,141.3,2.43933269383026
"F",4,275,142.51,2.43933269383026
"F",4,275,208.03,2.43933269383026
"F",4,275,192.74,2.43933269383026
"F",4,275,144.86,2.43933269383026
"F",4,275,114.09,2.43933269383026
"F",4,275,121.36,2.43933269383026
"F",4,276,166.87,2.44090908206522
"F",4,276,148.03,2.44090908206522
"F",4,276,155.68,2.44090908206522
"F",4,276,141.4,2.44090908206522
"F",4,276,146.4,2.44090908206522
"F",4,276,133.43,2.44090908206522
"F",4,277,150.3,2.44247976906445
"F",4,278,168.15,2.44404479591808
"F",4,278,148.26,2.44404479591808
"F",4,278,136.59,2.44404479591808
"F",4,279,154.25,2.4456042032736
"F",4,279,154.98,2.4456042032736
"F",4,279,137.01,2.4456042032736
"F",4,280,178.79,2.44715803134222
"F",4,280,155.89,2.44715803134222
"F",4,280,166.15,2.44715803134222
"F",4,281,167.34,2.44870631990508
"F",4,281,144.93,2.44870631990508
"F",4,282,152.88,2.45024910831936
"F",4,282,162.7,2.45024910831936
"F",4,283,182.2,2.45178643552429
"F",4,283,166.06,2.45178643552429
"F",4,284,178.04,2.45331834004704
"F",4,284,171.24,2.45331834004704
"F",4,285,157.54,2.45484486000851
"F",4,285,205.85,2.45484486000851
"F",4,285,165.05,2.45484486000851
"F",4,285,177.14,2.45484486000851
"F",4,286,196.55,2.45636603312904
"F",4,286,162.57,2.45636603312904
"F",4,286,149.32,2.45636603312904
"F",4,286,164.9,2.45636603312904
"F",4,286,166.64,2.45636603312904
"F",4,286,170.77,2.45636603312904
"F",4,286,135.06,2.45636603312904
"F",4,288,160.14,2.45939248775923
"F",4,288,164.21,2.45939248775923
"F",4,288,124.5,2.45939248775923
"F",4,289,184.86,2.46089784275655
"F",4,289,207.55,2.46089784275655
"F",4,289,166.6,2.46089784275655
"F",4,290,193.99,2.46239799789896
"F",4,291,241.57,2.46389298898591
"F",4,291,191.86,2.46389298898591
"F",4,291,175.92,2.46389298898591
"F",4,291,182.95,2.46389298898591
"F",4,291,155.13,2.46389298898591
"F",4,292,182.95,2.46538285144842
"F",4,292,172.27,2.46538285144842
"F",4,292,179.73,2.46538285144842
"F",4,292,193.55,2.46538285144842
"F",4,293,184.71,2.46686762035411
"F",4,293,182.11,2.46686762035411
"F",4,294,176,2.46834733041216
"F",4,295,212.48,2.46982201597816
"F",4,295,134.08,2.46982201597816
"F",4,296,239.28,2.47129171105894
"F",4,296,188.62,2.47129171105894
"F",4,296,187.06,2.47129171105894
"F",4,297,169.05,2.47275644931721
"F",4,298,203.31,2.47421626407626
"F",4,299,198.84,2.47567118832443
"F",4,299,204.59,2.47567118832443
"F",4,300,193.81,2.47712125471966
"F",4,302,182.38,2.48000694295715
"F",4,302,162.74,2.48000694295715
"F",4,303,184.89,2.4814426285023
"F",4,303,178.39,2.4814426285023
"F",4,303,174.5,2.4814426285023
"F",4,306,195.27,2.48572142648158
"F",4,310,236.25,2.49136169383427
"F",4,310,299.56,2.49136169383427
"F",4,311,211.04,2.49276038902684
"F",4,311,198.46,2.49276038902684
"F",4,312,202.24,2.49415459401844
"F",4,313,266.43,2.49554433754645
"F",4,314,226.53,2.49692964807321
"F",4,315,230.48,2.4983105537896
"F",4,315,263.91,2.4983105537896
"F",4,316,256.39,2.4996870826184
"F",4,317,285.15,2.50105926221775
"F",4,317,227.58,2.50105926221775
"F",4,318,243.33,2.50242711998443
"F",4,320,258.84,2.50514997831991
"F",4,320,248.37,2.50514997831991
"F",4,321,225.65,2.50650503240487
"F",4,322,247.63,2.50785587169583
"F",4,323,247.15,2.5092025223311
"F",4,323,288.53,2.5092025223311
"F",4,323,248.36,2.5092025223311
"F",4,324,292.89,2.51054501020661
"F",4,325,275.38,2.51188336097887
"F",4,326,320.86,2.51321760006794
"F",4,326,264.53,2.51321760006794
"F",4,328,222.74,2.51587384371168
"F",4,329,310.34,2.51719589794997
"F",4,332,293.8,2.52113808370404
"F",4,333,308.18,2.52244423350632
"F",4,333,272.05,2.52244423350632
"F",4,334,311.66,2.52374646681156
"F",4,335,252.84,2.52504480703685
"F",4,335,252.9,2.52504480703685
"F",4,336,253.39,2.52633927738984
"F",4,336,289.83,2.52633927738984
"F",4,337,282.88,2.52762990087134
"F",4,339,303.78,2.53019969820308
"F",4,341,321.87,2.5327543789925
"F",4,343,310.33,2.53529412004277
"F",4,343,311.7,2.53529412004277
"F",4,344,332,2.53655844257153
"F",4,344,313.26,2.53655844257153
"F",4,345,239.99,2.53781909507327
"F",4,345,279.06,2.53781909507327
"F",4,347,400.16,2.54032947479087
"F",4,348,307.8,2.54157924394658
"F",4,349,317.32,2.54282542695918
"F",4,349,275.29,2.54282542695918
"F",4,352,348.31,2.54654266347813
"F",4,354,324.11,2.54900326202579
"F",4,356,416.04,2.55144999797288
"F",4,357,317.44,2.55266821611219
"F",4,360,358.42,2.55630250076729
"F",4,361,326.65,2.55750720190566
"F",4,362,463.07,2.55870857053317
"F",4,364,370.5,2.56110138364906
"F",4,365,451.23,2.56229286445647
"F",4,365,362.02,2.56229286445647
"F",4,371,374.94,2.56937390961505
"F",4,371,363.92,2.56937390961505
"F",4,372,374.51,2.5705429398819
"F",4,374,441.414,2.57287160220048
"F",4,375,388.51,2.57403126772772
"F",4,375,421.16,2.57403126772772
"F",4,375,417.77,2.57403126772772
"F",4,379,330.66,2.57863920996807
"F",4,381,441.14,2.58092497567562
"F",4,385,412.82,2.5854607295085
"F",4,391,413.63,2.59217675739587
"F",4,392,522.61,2.59328606702046
"F",4,393,470,2.59439255037543
"F",4,395,531.61,2.59659709562646
"F",4,396,515.64,2.59769518592551
"F",4,397,470.81,2.59879050676312
"F",4,397,503.69,2.59879050676312
"F",4,398,513.54,2.59988307207369
"F",4,399,501.08,2.60097289568675
"F",4,405,512.16,2.60745502321467
"F",4,410,570,2.61278385671974
"F",4,412,573.5,2.61489721603313
"F",4,413,580,2.6159500516564
"F",4,418,476.44,2.62117628177504
"F",4,424,547.87,2.62736585659273
"F",4,426,635,2.62940959910272
"F",4,429,695,2.63245729218472
"F",4,434,553.28,2.63748972951251
"F",4,438,680,2.6414741105041
"F",4,446,625,2.64933485871214
"F",4,449,640,2.65224634100332
"F",4,501,1155,2.69983772586725
"F",5,248,101.21,2.39445168082622
"F",5,251,96.91,2.39967372148104
"F",5,259,142.14,2.41329976408125
"F",5,259,105.75,2.41329976408125
"F",5,261,149.84,2.41664050733828
"F",5,264,134.8,2.42160392686983
"F",5,264,108.78,2.42160392686983
"F",5,268,123.2,2.42813479402879
"F",5,269,132.53,2.42975228000241
"F",5,270,105.66,2.43136376415899
"F",5,273,157.35,2.43616264704076
"F",5,278,127.89,2.44404479591808
"F",5,278,148.14,2.44404479591808
"F",5,278,153.44,2.44404479591808
"F",5,279,160.7,2.4456042032736
"F",5,285,173.06,2.45484486000851
"F",5,288,157.57,2.45939248775923
"F",5,288,182.23,2.45939248775923
"F",5,291,235.29,2.46389298898591
"F",5,292,200.08,2.46538285144842
"F",5,295,165.22,2.46982201597816
"F",5,296,191.52,2.47129171105894
"F",5,297,172.74,2.47275644931721
"F",5,298,176.48,2.47421626407626
"F",5,299,208.78,2.47567118832443
"F",5,300,220.91,2.47712125471966
"F",5,301,202.12,2.47856649559384
"F",5,302,204,2.48000694295715
"F",5,305,197.54,2.48429983934679
"F",5,307,201.48,2.48713837547719
"F",5,307,216.54,2.48713837547719
"F",5,312,187.31,2.49415459401844
"F",5,312,213.93,2.49415459401844
"F",5,318,245.91,2.50242711998443
"F",5,320,247.31,2.50514997831991
"F",5,321,250.24,2.50650503240487
"F",5,322,279.59,2.50785587169583
"F",5,323,225.02,2.5092025223311
"F",5,328,267.55,2.51587384371168
"F",5,332,261.29,2.52113808370404
"F",5,332,247.66,2.52113808370404
"F",5,341,303.88,2.5327543789925
"F",5,347,321.06,2.54032947479087
"F",5,347,341.71,2.54032947479087
"F",5,348,316.33,2.54157924394658
"F",5,353,360.6,2.54777470538782
"F",5,354,276.33,2.54900326202579
"F",5,355,276.1,2.55022835305509
"F",5,360,363.77,2.55630250076729
"F",5,368,374.69,2.56584781867352
"F",5,374,394.73,2.57287160220048
"F",5,376,379.13,2.57518784492766
"F",5,377,426,2.57634135020579
"F",5,378,440.59,2.57749179983723
"F",5,379,564.36,2.57863920996807
"F",5,383,438.45,2.58319877396862
"F",5,392,504.38,2.59328606702046
"F",5,400,615,2.60205999132796
"F",5,402,468.63,2.60422605308447
"F",5,402,438.25,2.60422605308447
"F",5,414,547.66,2.6170003411209
"F",5,421,494.59,2.62428209583567
"F",5,421,620,2.62428209583567
"F",5,423,625,2.62634036737504
"F",5,424,522.08,2.62736585659273
"F",5,433,690,2.63648789635337
"F",5,446,710,2.64933485871214
"F",6,241,105.28,2.38201704257487
"F",6,259,110.94,2.41329976408125
"F",6,283,169.34,2.45178643552429
"F",6,319,216.97,2.50379068305718
"F",6,359,297.64,2.55509444857832
"F",6,368,368.29,2.56584781867352
"F",6,369,359.24,2.56702636615906
"F",6,376,347.38,2.57518784492766
"F",6,386,515,2.58658730467176
"F",6,400,539.53,2.60205999132796
"F",6,402,416.2,2.60422605308447
"F",6,424,760,2.62736585659273
"F",6,453,705,2.65609820201283
"F",6,458,770,2.66086547800387
"F",6,460,930,2.66275783168157
"F",7,401,590,2.60314437262018
"F",7,415,482.15,2.61804809671209
"F",7,441,955,2.64443858946784
"M",1,297,177.67,2.47275644931721
"M",2,245,101.84,2.38916608436453
"M",2,245,93.89,2.38916608436453
"M",2,249,99.59,2.39619934709574
"M",2,252,110.91,2.40140054078154
"M",2,252,109.37,2.40140054078154
"M",2,253,103.94,2.40312052117582
"M",2,254,114.27,2.40483371661994
"M",2,256,111.82,2.40823996531185
"M",2,257,133.46,2.40993312333129
"M",2,257,118.14,2.40993312333129
"M",2,257,103.57,2.40993312333129
"M",2,261,130.16,2.41664050733828
"M",2,262,171.85,2.41830129131975
"M",2,264,141.11,2.42160392686983
"M",2,267,123.25,2.42651126136458
"M",2,268,128,2.42813479402879
"M",2,268,147.48,2.42813479402879
"M",2,269,152.2,2.42975228000241
"M",2,269,128.61,2.42975228000241
"M",2,273,148.81,2.43616264704076
"M",2,274,145.23,2.43775056282039
"M",2,274,132.44,2.43775056282039
"M",2,278,156.44,2.44404479591808
"M",2,278,179.76,2.44404479591808
"M",2,281,183,2.44870631990508
"M",2,282,148.4,2.45024910831936
"M",2,283,134.04,2.45178643552429
"M",2,285,196.77,2.45484486000851
"M",2,285,143.05,2.45484486000851
"M",2,286,168.86,2.45636603312904
"M",2,286,148.35,2.45636603312904
"M",2,288,161.23,2.45939248775923
"M",2,292,210.86,2.46538285144842
"M",2,294,167.13,2.46834733041216
"M",2,295,171.93,2.46982201597816
"M",2,296,205.25,2.47129171105894
"M",2,297,228.43,2.47275644931721
"M",2,297,198.79,2.47275644931721
"M",2,298,185.83,2.47421626407626
"M",2,299,181.54,2.47567118832443
"M",2,301,238.67,2.47856649559384
"M",2,302,208,2.48000694295715
"M",2,302,209.47,2.48000694295715
"M",2,305,246.01,2.48429983934679
"M",2,309,212.13,2.48995847942483
"M",2,312,215.62,2.49415459401844
"M",2,313,238.41,2.49554433754645
"M",2,315,218.64,2.4983105537896
"M",2,317,209.61,2.50105926221775
"M",2,319,236.02,2.50379068305718
"M",2,323,230.06,2.5092025223311
"M",2,327,257.6,2.51454775266029
"M",2,329,280.45,2.51719589794997
"M",2,329,291.17,2.51719589794997
"M",2,336,298.27,2.52633927738984
"M",2,338,262.29,2.52891670027765
"M",2,341,299.04,2.5327543789925
"M",2,343,302.67,2.53529412004277
"M",2,360,330.32,2.55630250076729
"M",2,368,363.24,2.56584781867352
"M",3,172,148.87,2.23552844690755
"M",3,243,104.02,2.38560627359831
"M",3,244,92.27,2.38738982633873
"M",3,245,109.89,2.38916608436453
"M",3,246,100.6,2.39093510710338
"M",3,246,106.99,2.39093510710338
"M",3,247,120.11,2.39269695325967
